iter	Passed	Remaining
0	3	2840
1	7	2853
2	11	2852
3	14	2793
4	18	2779
5	22	2764
6	25	2727
7	28	2680
8	32	2660
9	36	2666
10	39	2636
11	42	2604
12	45	2566
13	48	2525
14	51	2501
15	53	2461
16	56	2436
17	59	2399
18	61	2366
19	64	2341
20	66	2310
21	68	2283
22	71	2247
23	73	2224
24	75	2199
25	77	2169
26	79	2141
27	82	2116
28	84	2088
29	86	2069
30	88	2045
31	90	2022
32	91	1985
33	93	1964
34	95	1947
35	97	1933
36	99	1917
37	101	1901
38	103	1885
39	105	1871
40	107	1858
41	109	1845
42	110	1814
43	112	1801
44	114	1790
45	116	1777
46	117	1764
47	119	1753
48	121	1744
49	123	1735
50	125	1726
51	128	1718
52	129	1709
53	132	1701
54	134	1693
55	136	1687
56	138	1678
57	140	1670
58	141	1662
59	143	1654
60	145	1647
61	147	1642
62	150	1636
63	152	1630
64	152	1610
65	154	1604
66	156	1599
67	159	1594
68	161	1590
69	163	1585
70	165	1581
71	167	1577
72	169	1573
73	171	1569
74	173	1563
75	175	1560
76	178	1560
77	180	1556
78	182	1552
79	184	1548
80	187	1546
81	189	1544
82	192	1545
83	194	1544
84	197	1544
85	199	1542
86	202	1542
87	204	1540
88	207	1538
89	209	1535
90	211	1534
91	214	1530
92	216	1529
93	219	1530
94	222	1531
95	224	1530
96	227	1533
97	230	1532
98	233	1533
99	236	1534
100	238	1530
101	240	1527
102	243	1530
103	246	1528
104	248	1528
105	251	1528
106	254	1528
107	257	1532
108	260	1529
109	263	1532
110	266	1533
111	269	1534
112	271	1533
113	274	1531
114	277	1534
115	281	1537
116	284	1540
117	287	1542
118	290	1538
119	293	1541
120	298	1552
121	301	1551
122	304	1552
123	308	1557
124	312	1564
125	317	1571
126	322	1581
127	327	1589
128	330	1590
129	334	1594
130	338	1599
131	342	1602
132	345	1605
133	349	1606
134	352	1606
135	356	1608
136	359	1608
137	362	1607
138	365	1608
139	369	1609
140	372	1609
141	376	1611
142	380	1614
143	383	1615
144	388	1619
145	392	1622
146	396	1627
147	401	1634
148	406	1638
149	410	1643
150	415	1649
151	420	1653
152	425	1658
153	429	1662
154	433	1665
155	437	1664
156	441	1668
157	446	1673
158	451	1677
159	455	1680
160	460	1683
161	463	1682
162	468	1688
163	472	1689
164	477	1692
165	481	1695
166	486	1698
167	490	1699
168	495	1702
169	499	1703
170	503	1704
171	507	1704
172	511	1706
173	516	1708
174	520	1709
175	525	1712
176	529	1714
177	534	1717
178	539	1720
179	544	1723
180	548	1725
181	553	1728
182	558	1730
183	563	1733
184	567	1734
185	572	1736
186	577	1738
187	582	1740
188	587	1742
189	592	1745
190	597	1748
191	601	1748
192	606	1751
193	611	1752
194	615	1752
195	620	1753
196	624	1752
197	628	1751
198	632	1752
199	637	1753
200	642	1754
201	647	1755
